XBC798,Gothic Cross Bracelet Cuff,,(Ours# SB-J1045),HTS : 7116 200 580,4.27,,XBC798,0料十字架手鐲,"电镀：3咪银+泳漆, 抹哑黑油",內盒Item Desc. : Bracelet,,,,23.9
101761,Necklace - Sm silver Horeshoe & CZ,,(Ours# SB-J1046),HTS : 7116 200 580,2.97,,101761,锌合金小馬蹄項錬,电镀：3咪银+泳漆,內盒Item Desc. : Necklace,,,,11.29
101762,Earrings - 2T roped CZ Cuff,,(Ours# SB-J1047),HTS : 7116 200 580,3.56,,101762,0#料扭線C形耳環,电镀：扭线边电#IN14K金+泳漆，其它电3咪银+泳漆,內盒Item Desc. : Earrings,,,,13.8
101763,Necklace - 2T Triple roped rings,,(Ours# SB-J1048),HTS : 7116 200 580,8.51,,101763,鋅合金3圈項錬(白石及黃水晶石),电镀：扭线边电#IN14K金+抹哑黑油+泳漆,,,,,31.29
101983,Bracelet - Barb wire w/Crystals,,(Ours# SB-J1049),HTS : 7116 200 580,6.63,,101983,0#料+銅刺手錬,电镀：铜刺电IN14K金+泳漆,其它电3咪银+泳漆,,,,26.7
101981,Earrings - Barb Wire with crystals,,(Ours# SB-J1050),HTS : 7116 200 580,3.56,,101981,0#料+銅刺耳環,电镀：电3咪银+泳漆/IN14K金+泳漆,,,,,13.73
101982,Necklace - Barb Wire with crystals,,(Ours# SB-J1051),HTS : 7116 200 580,7.42,,101982,0#料+銅刺項錬,电镀：电3咪银+泳漆/IN14K金+泳漆,其它电3咪银+泳漆,,,,29.3
101997,Earrings - Horeshoe,,(Ours# SB-J1052),HTS : 7116 200 580,2.47,,101997,0#料馬蹄耳環,电镀：3咪银+泳漆,,,,,9.5
102002,Earrings - Silver Pistol with CZs,,(Ours# SB-J1053),HTS : 7116 200 580,4.55,,102002,"0#料手槍耳環, CZ 石",电镀：3咪银+泳漆,,,,,19.4
102003,Gun Necklace,,(Ours# SB-J1054),HTS : 7116 200 580,3.66,,102003,"0#料手槍項錬,CZ石",电镀：3咪银+泳漆,,,,,17
XNC62,Necklace - Horseshoe,,(Ours# SB-J1055),HTS : 7116 200 580,2.81,,XNC62,"锌合金馬蹄鐵項錬, 奧钻白色石",电镀 : 2咪白铜锡+钯 ,,,,,11.3
XBC620,Bracelet - CZ Horseshoe charm,,(Ours# SB-J1056),HTS : 7116 200 580,7.38,,XBC620,"0#料馬蹄鐵手錬, CZ 石",电镀 : 2咪白铜锡+钯 ,,,,,20
XER744,Earrings - Rhinestone Heart,,(Ours# SB-J1057),HTS : 7116 200 580,3.66,,XER744,"0#料心形耳環,奧粘白石",电镀 : 2咪白铜锡+钯 ,,,,,10.2
XBC1032,Bracelet - Silver & Black 3 rings CZ,,(Ours# SB-J1058),HTS : 7116 200 580,7.02,,XBC1032,锌合金CZ手鐲,"电镀：3咪银+泳漆, 抹哑黑油",,,,,29
XER1032,Earrings - Silver & Black 3 Rings CZ,,(Ours# SB-J1059),HTS : 7116 200 580,3.37,,XER1032,"0#料3圈""C""形耳環, 奧粘白色石","电镀：3咪银+泳漆, 抹哑黑油",,,,,17.3
XNC1032,Necklace - Silver & Black 3 rings CZ,,(Ours# SB-J1060),HTS : 7116 200 580,8.31,,XNC1032,"锌合金3圈項錬, 奥钻白色石","电镀：3咪银+泳漆, 抹哑黑油",,,,,35.08
XER1041,Earrings - Silver Rope & Balls CZ Heart,,(Ours# SB-J1061),HTS : 7116 200 580,2.97,,XER1041,0#料大心形耳環,"电镀：3咪银+泳漆, 抹哑黑油",,,,,13.5
XNC1041,Necklace - Silver Rope & Balls CZ Heart,,(Ours# SB-J1062),HTS : 7116 200 580,9.05,,XNC1041,0#料大心形項錬,"电镀：3咪银+泳漆, 抹哑黑油",,,,,36.96
XER1132,"Silver & Black with CZs 1"" dia Hoops",,(Ours# SB-J1063),HTS : 7116 200 580,4.02,,XER1132,0#料C形直針耳環,"电镀：3咪银+泳漆, 抹哑黑油奧粘白石",,,,,17.3
XER1340,Earrings - Silver Cross with Turquoise,,(Ours# SB-J1064),HTS : 7116 200 580,3.59,,XER1340,藍松石/滴油十字架耳環,"电镀：3咪银+泳漆, 抹哑黑油",,,,,15.8
XER3374CZ,Earrings - Glittered Feather CZ,,(Ours# SB-J1065),HTS : 7116 200 580,5.43,,XER3374CZ,"锌合金羽毛耳環, 捷克白色石",电镀 : 2咪白铜锡+钯 ,,,,,26.9
XNC3374CZ,Necklace - Glittered Feather CZ,,(Ours# SB-J1066),HTS : 7116 200 580,3.64,,XNC3374CZ,"锌合金羽毛項鍊, 捷克白色石",电镀 : 2咪白铜锡+钯 ,,,,,17.8
XNC3409,Necklace - CZ Cross in Bead Heart,,(Ours# SB-J1067),HTS : 7116 200 580,2.23,,XNC3409,"0#料心形加十字架項錬, CZ 石",电镀：电白金,,,,,11
101734,Earrings - CZ inside out hoop,,(Ours# SB-J1068),HTS : 7116 200 580,5.74,,101734,锌合金C圈耳環(內外鉆石),电镀：3咪银+泳漆,,,,,18
101746,Necklace - Silver Double Heart with CZs,,(Ours# SB-J1069),HTS : 7116 200 580,4.07,,101746,0#料孖心形CZ項錬,电镀：3咪银+泳漆,,,,,13.55
XNC744,Necklace - Rhinestone Heart,,(Ours# SB-J1070),HTS : 7116 200 580,4.36,,XNC744,"锌合金心形項鍊, 白色奧粘石",电镀 : 2咪白铜锡+钯 ,,,,,11.9
XNC746,Necklace - Rhinestone Cross,,(Ours# SB-J1071),HTS : 7116 200 580,4.13,,XNC746,锌合金十字架項錬,电镀 : 2咪白铜锡+钯 ,,,,,10.4
XER802,Earrings - Small Horseshoe,,(Ours# SB-J1072),HTS : 7117 900 000,1.84,,XER802,锌合金馬蹄鐵耳環,"电镀：3咪银+泳漆, 抹哑黑油",,,,,6.18
XER803,Earrings - Small Horseshoe,,(Ours# SB-J1073),HTS : 7117 900 000,2.23,,XER803,锌合金小馬蹄耳環,电镀：五角星电IN14K金+泳漆，,其它电3咪银+泳漆,,,,8.3
XER808,Earrings - Silver Horseshoe,,(Ours# SB-J1074),HTS : 7117 900 000,2.56,,XER808,"0#料馬啼鐵耳環,CZ石",电镀 : 2咪白铜锡+钯 ,,,,,9.05
XER801,Earrings - Rhinestone Horses,,(Ours# SB-J1075),HTS : 7116 200 580,2.38,,XER801,0#料馬啼鐵耳環,电镀 : 2咪白铜锡+钯 ,,,,,9.7
XER808PK,"Earrings - Silver Horseshoe, Rhinestone, Pink",,(Ours# SB-J1076),HTS : 7116 200 580,2.92,,XER808PK,"0#料馬啼鐵耳環,CZ粉紅石",电镀 : 2咪白铜锡+钯 ,,,,,9.55
XER930CL,"Earrings - 3D Spur, CZ Large",,(Ours# SB-J1077),HTS : 7116 200 580,5.53,,XER930CL,0#料靴刺耳環,电镀：IN14K金+泳漆，其它电3咪银+泳漆,,,,,16.3
XER746,Earrings - Rhinestone Cross,,(Ours# SB-J1078),HTS : 7116 200 580,3.76,,XER746,"0#料十字架耳環, CZ 石",电镀 : 2咪白铜锡+钯 ,,,,,11
XNC62PK,"Horse shoe Necklace, Pink CZ stones",,(Ours# SB-J1079),HTS : 7116 200 581,3.15,,XNC62PK,"锌合金馬蹄鐵項錬, 奧钻粉釭色石",电镀 : 2咪白铜锡+钯 ,,,,,11.5
XER862,Earrings - Blue stone w/Berry,,(Ours# SB-J1080),HTS : 7116 200 580,1.6,,XER862,0#料靴刺耳環,电镀：IN14K金+泳漆，其它电3咪银+泳漆,,,,,6.6
XNC862,Necklace - Blue stone w/Berry,,(Ours# SB-J1081),HTS : 7116 200 580,2.59,,XNC862,"锌合金馬蹄鐵項錬, 奧钻粉釭色石",电镀 : 2咪白铜锡+钯 ,,,,,15
XNC4305,NC- Starlights Double hearts,,(Ours# SB-J1038),HTS : 7116 200 581,4.3,,XNC4305,銅料2只心形吊咀項錬,電鍍: 電銀及鎗色加泳漆,內盒Item Desc. : Necklace,,,,17.8
NFRORN19,X'mas ornament,,,,1.76,,NFRORN19,X'mas ornament,,,,,,
X5039,Brass Pocket watch,,,,19.9,,X5039,Brass Pocket watch,,,,,,15.5
X1241,Leather Buckle set (3 pcs),,,,5.7,,X1241A,Leather,,,,,,5
,,,,,,,X1241B,Button,,,,,,3.2
XER3381,ER - CrowboyWay Horse ,,(Ours #SB-J1169),,2.9,,XER3381,銅料馬仔耳環,电镀 : 2咪白铜锡+钯 ,,,,,8.7
XNC3381,NC - Crowboy Way Horse ,,(Ours# SB-J1168),,3.5,,XNC3381,銅料馬仔項錬,电镀 : 2咪白铜锡+钯 ,,,,,10.2
XNC3416,NC - Feather & CZ Dangle,,(Ours #SB-J1167),,5.9,,XNC3416,銅料羽毛加CZ石項鍊,电镀 : 2咪白铜锡+钯 ,,,,,12.2
X4085,"Necklace - 18"" + 3""",,,,2.12,,X4085,"銅錬, 18"" + 3"" 尾錬+ 水滴珠",電鍍: 電光銀加泳漆,,,,,9
XER4481,"Earrings - RG Teardrop Climber, Clear CZ",,(Our #SB-J1253),HTS : 7116 200 580,4.75,,XER4481,銅孤形淚漓CZ耳環,電鍍: 玫瑰金+泳漆,,,,,18
XER4482,Earrings - Feather Ear Cuff,,(Our # SB-J1254),HTS : 7116 200 580,2.55,,XER4482,銅弧形耳環,電鍍: 全只電3咪銀加泳漆,,,,,10
,,,,,,,,,,,,,,
XER4483,Earrings - Open Tear drop wrapped TQ,,(Our #SB-J1176),HTS : 7116 200 580,5.05,,XER4483,銅耳環配藍松石加CZ石,電鍍: 全只電3咪銀加泳漆,,,,,20
XER4484,Earrings - Geometric Turquoise ,,(Our #SB-J1162),HTS : 7116 200 580,2.3,,XER4484,銅耳環配藍松石加CZ石,電鍍: 全只電3咪銀加泳漆,,,,,9
XER4486,Earrings - All About the Howlite TQ & Clear CZ,,(Our #SB-J1148),HTS : 7116 200 580,4.4,,XER4486,銅耳環配藍松石加CZ石,電鍍: 全只電3咪銀加泳漆,,,,,19.6
XER4487,Earrings - Twinkle Wheel Clear CZ,,(Our #SB-J1153),HTS : 7116 200 580,5.5,,XER4487,銅耳環配CZ石,電鍍: 全只電3咪銀加泳漆,,,,,21.6
XER4489,Earrings - Reversible Twinkle TQ,,(Our #SB-J1146),HTS : 7116 200 580,2.4,,XER4489,銅耳環配藍松石及CZ石,電鍍: 全只電3咪銀加泳漆,,,,,9
XNC4481,Necklace - Rose Gold Teardrop Bar,,,HTS : 7116 200 580,6.8,,XNC4481,銅淚漓CZ吊咀配#XNC862項錬,電鍍: 吊咀及錬配玫瑰金+泳漆,,,,,19.8
XNC4496,Necklace - Silver Shine Wheel Clear CZ,,(Our #SB-J1134),HTS : 7116 200 580,4.5,,XNC4496,銅項錬配CZ石,電鍍: 全只電3咪銀加泳漆,,,,,18
XNC4502,Necklace - Double Open Heart Split,,(Our #SB-J1138),HTS : 7116 200 580,4.5,,XNC4502,銅項錬配CZ石,電鍍: 全只電3咪銀加泳漆,,,,,18
XNC4499,Necklace - Curved Feather Glitter ,,(Our #SB-J1139),HTS : 7116 200 580,4.5,,XNC4499,銅項錬配CZ石,電鍍: 全只電3咪銀加泳漆,,,,,20.6
XNC4498,Necklace - Unwavering Faith,,(Our #SB-J1125),HTS : 7116 200 581,5.2,,XNC4498,"銅十字架吊咀, 链长16”+2”尾链",加水滴珠,镶白色锆石,電鍍: 3 咪銀+泳漆,,,20.8
XNC4501,Necklace -Open Heart TQ Pearl,,(Our #SB-J1127),HTS : 7116 200 580,4.8,,XNC4501,銅項錬配CZ石及藍松石,電鍍: 全只電3咪銀加泳漆,,,,,19
XBC4459,Bracelet ,,(Our #SB-J1118),HTS : 7116 200 580,5.4,,XBC4459,銅手鐲配CZ石,電鍍: 全只電3咪銀加泳漆,,,,,20.5
XER4550,Earrings - A Twist Hold it All Imitation TQ & CZ,,(Ours#SB-J1151),HTS : 7116 200 580,4,,XER4550,銅耳環配藍松石及CZ石,電鍍: 3咪銀+泳漆,,,,,15
X4718-32,Necklace ,,,,3.2,,X4718-32,"銅項錬, 32吋長, 龍虲扣",电镀 : 2咪白铜锡+钯 ,,,,,10.5
X4139-22,Necklace ,,,,3.7,,X4139-22,"銅項錬, 22吋長, 龍虲扣",电镀 : 2咪白铜锡+钯 ,,,,,10.5
X4137,"Brass Rolo chain, 28"" length, lobster closure",,,,2.4,,X4137,"銅項錬, 28吋長, 龍虲扣",電鍍: 全只電殘古銀加泳漆,,,,,9.8
X1392STQ,Oval Turq face/Bead Beze watch head,Minimum order : 200 pcs,"Keep balance case US$1.50/pc for 6 months (effective on Aug 27, 20)","Factory ; Keep 300 pcs case blank, RMB6.50/pc",14.9,,X1392STQ,Oval Turq face/Bead Beze watch head,,,,,,80
X1395STQ,Round Turquoise face/Bead Bezel ,,,,14,,X1395STQ,MT 不秀鋼錶頭,壳圈: 不秀鋼,"面 : 白面加藍松, 白色""MONTANA""字, 黑色數字","針: (時, 分針鋼針電銀, 秒針電藍色)","機芯: 日本2035, 電池: 日本",背面: 客人蝕字,80
X1395SRG,Round/White face/Silver bezel,,,,14.5,,X1395SRG,MT 不秀鋼錶頭,壳圈: 電玫瑰金,"面 : 白面, 藍色""MONTANA""字, 黑色數字","針: (時, 分針鋼針電玫瑰金, 秒針電藍色)","機芯: 日本2035, 電池: 日本",背面: 客人蝕字,80
XWB7S-BK,Leather Watch band - Small Round Black,,,,5.95,,XWB7S-BK,Watch Band  -  HKD28.00,Watch buckle - HKD7.00,,,,,35
XWB6S-BK,Leather Watch Band - Small Flare Black,,,,5.95,,XWB6S-BK,Watch Band  -  HKD28.00,Watch buckle (Including spare) - HKD7.00,,,,,35
XWB7L-BR,Leather watch band with buckle - Brown color Watch Band,"Watch buckle with ""Montana"" logo",Leather color : Brown,,6.3,,XWB7L-BR,Leather watch band with buckle - Black color Watch Band - HKD29.00,"Watch buckle with ""Montana"" logo - HKD2.9",Leather color : Brown,,,,31.9
XWB7L-BK,Leather watch band with buckle - Black color Watch Band,"Watch buckle with ""Montana"" logo",Leather color : Black,,6.3,,XWB7L-BK,Leather watch band with buckle - Black color Watch Band - HKD29.00,"Watch buckle with ""Montana"" logo - HKD2.9",Leather color : Black,,,,31.9
NCD,NCD Necklace Display ,,,HTS : 3926 909 990,1.1,,NCD,NCD Necklace Display ,"MOQ1,000 pcs",,,,,4.8
2937WH,8mm Round Drop clear stone,,,HTS : 7116 200 580,34.56,,2937WH,"8mm 圓石加杯, A193 奧鉆白石",电镀：3咪银+泳漆,內盒Item Desc. : Stone with Finding,,,,3.3
2939WH,6mm Bround drop clear stone with findings,(SB-J1473),,HTS : 7116 200 580,28.8,,2939WH,"6mm 圓石加杯, A193 奧鉆白石",电镀：3咪银+泳漆,內盒Item Desc. : Stone with Finding,,,,2.8
2944LTQ,4mm Roud drop with findings,,,HTS : 7116 200 580,28.32,,2944LTQ,4mm 圓形施華洛藍色石,电镀：3咪银+泳漆,內盒Item Desc. : Stone with Finding,,,,1.9
2970WH,4mm Square drop with findings,,,HTS : 7116 200 580,28.8,,2970WH,"4mm 四方石加杯, 捷克方白石",电镀：3咪银+泳漆,內盒Item Desc. : Stone with Finding,,,,2.2
ER4816,Earrings - American Legends Tablet,"Im. TQ,  Im. Coral,  Im. MOP & Im.Onyx",(MSER 0320-6),HTS : 7116 200 580,15.9,,ER4816,銅耳環,"石仔: 假藍松石, 天然紅珊瑚, 貝母",天然黑石,電鍍: 白金間玫瑰金,,,72.12
NC4816,Necklace - American Legends Tablet ,,(MSNC 0320-7),HTS : 7117 19 0000,11.7,,NC4816,銅吊咀加銅項錬,"石仔: 假藍松石, 天然紅珊瑚, 貝母",天然黑石,"項錬: 1.5mm, 19.5 吋長 + 3吋尾錬, 1 只水滴珠","電鍍: 吊咀 (白金間玫瑰金), 項錬 (白金",,48.66
NC4818,Necklace - American Legends Cross,,(MSMNC 0220-2),HTS : 7117 19 0000,14,,NC4818,銅十字架吊咀加銅項錬,十字架尺寸: 40mm x 29.5 mm,"石仔: 假藍松石, 天然紅珊瑚, 貝母","假藍松石, 天然紅珊瑚, 貝母 天然黑石","項錬: 2.5mm, 19.5 吋長 + 3吋尾錬, 1 只水滴珠","電鍍: 吊咀 (白金間玫瑰金), 項錬 (白金)",58.26
NC4819,Necklace - American Legend Cross Tag ,(No stone),(MSNC 053020),HTS : 7117 19 0000,12.2,,NC4819,銅吊咀加銅項錬,"項錬: 2.5mm, 19.5 吋長 + 3吋尾錬, 1 只水滴珠","電鍍: 吊咀 (白金間玫瑰金), 項錬 (白金)",,,,53.94
NC4820,Necklace - Embracing Faith Cross,,(MSMNC 0220-1),HTS : 7117 19 0000,12.8,,NC4820,銅十字架吊咀加銅項錬,"石仔: 假藍松石, 天然紅珊瑚, 貝母天然黑石","項錬: 2.5mm, 19.5 吋長 + 3吋尾錬, 1 只水滴珠","電鍍: 吊咀 (白金間玫瑰金), 項錬 (白金)",,,48.3
NC4821,Necklace - American Legends Dream ,,(MSNC 0320-4),HTS : 7117 19 0000,19.5,,NC4821,銅吊咀加銅項錬,"石仔: 假藍松石,  天然紅珊瑚, 貝母天然黑石","項錬: 1.5mm, 19.5 吋長 + 3吋尾錬, 1 只水滴珠","電鍍: 吊咀 (白金間玫瑰金), 項錬 (白金)",內盒Item Desc. : Necklace,,87.64
ER4821,Necklace - American Legend Dream,,(MSER 0320-2),HTS : 7116 200 580,16,,ER4821,銅耳環,"石仔: 假藍松石, 天然紅珊瑚, 貝母天然黑石",電鍍: 白金間玫瑰金,,,,65.8
ER4822,Earrings - American Ceremony,"Im. TQ,  Im. Coral,  Im. MOP & Im.Onyx",(MSER 0320-1),HTS : 7116 200 580,13.7,,ER4822,銅耳環,"石仔: 假藍松石,  天然紅珊瑚, 貝母天然黑石",電鍍: 白金間玫瑰金,,,,61.7
ER4823,Earrings - American Legend Feather ,"Im. TQ,  Im. Coral,  Im. MOP & Im.Onyx",(MSER 0320-3),HTS : 7116 200 580,8.5,,ER4823,銅耳環,"石仔: 假藍松石,  天然紅珊瑚, 貝母天然黑石",電鍍: 白金間玫瑰金,,,,35.62
